"ACCOUNT_NAME"|"ACCOUNT_TYPE"|"ACCOUNT_DESCRIPTION"|"PARENT_ACCOUNT_ID"|"IS_INACTIVE"|"ACCOUNT_LEVEL"|"SUB_TYPE"|"IS_HEADER"|"ACCOUNT_BK"|"H_ACCOUNT_SID"|"H_PARENT_ACCOUNT_SID"|"WORKFLOW_PATH"|"WORKFLOW_NAME"|"WORKSPACE"|"SOURCE"|"LOAD_DATE_TIME"
"Fraser Bank Account"|"Asset"|"Derived from QuickBooks account Fraser Bank Account , of type Bank, with cash flow classification NotApplicable"|"1-0040"|false|4|"Bank"|false|"1-0060"|"b852898885bfab561a9b802482b2784bffa350e8"|"983bda976b7447089bd275bc741f00b83baad3dc"|"/Source_Systems/Finance/MYOB/accounts"|"accounts"|"D:\BI_and_Data_Analytics\Workflows"|"MYOB"|"2018-08-02 16:21:38.0"
"Fraser House Petty Cash"|"Asset"|"Derived from QuickBooks account Fraser House , of type Bank, with cash flow classification NotApplicable"|"1-0040"|false|4|"Bank"|false|"1-0065"|"2afe054dc337c58839dd15778c4baf8903aea5b5"|"983bda976b7447089bd275bc741f00b83baad3dc"|"/Source_Systems/Finance/MYOB/accounts"|"accounts"|"D:\BI_and_Data_Analytics\Workflows"|"MYOB"|"2018-08-02 16:21:38.0"
"Greenwood Bank Account"|"Asset"|"Derived from QuickBooks account Greenwood Bank Account , of type Bank, with cash flow classification NotApplicable"|"1-0040"|false|4|"Bank"|false|"1-0070"|"dc188b22b5835971701ea35e4414e4711a0203a3"|"983bda976b7447089bd275bc741f00b83baad3dc"|"/Source_Systems/Finance/MYOB/accounts"|"accounts"|"D:\BI_and_Data_Analytics\Workflows"|"MYOB"|"2018-08-02 16:21:38.0"
"Greenwood Drive Petty Cash"|"Asset"|"Derived from QuickBooks account Greenwood Drive , of type Bank, with cash flow classification NotApplicable"|"1-0040"|false|4|"Bank"|false|"1-0075"|"2f08ad54a4d743a2df3b49c7a7a0c984a65aafc4"|"983bda976b7447089bd275bc741f00b83baad3dc"|"/Source_Systems/Finance/MYOB/accounts"|"accounts"|"D:\BI_and_Data_Analytics\Workflows"|"MYOB"|"2018-08-02 16:21:38.0"
"Rattray Road Petty Cash"|"Asset"|"Derived from QuickBooks account Rattray Road , of type Bank, with cash flow classification NotApplicable"|"1-0040"|false|4|"Bank"|false|"1-0080"|"29569a8f7b48055874e8f0cb432fdd7cce94990b"|"983bda976b7447089bd275bc741f00b83baad3dc"|"/Source_Systems/Finance/MYOB/accounts"|"accounts"|"D:\BI_and_Data_Analytics\Workflows"|"MYOB"|"2018-08-02 16:21:38.0"
"Rattray Road Bank Account"|"Asset"|"Derived from QuickBooks account Rattray Road Bank Account , of type Bank, with cash flow classification NotApplicable"|"1-0040"|false|4|"Bank"|false|"1-0085"|"3b5684ca033aedfbc7412875381ed19c8c362cab"|"983bda976b7447089bd275bc741f00b83baad3dc"|"/Source_Systems/Finance/MYOB/accounts"|"accounts"|"D:\BI_and_Data_Analytics\Workflows"|"MYOB"|"2018-08-02 16:21:38.0"
"ATSS Programme Advances"|"Asset"|"Derived from QuickBooks account ATSS Programme Advances (Programme Funds Advanced), of type Bank, with cash flow classification NotApplicable"|"1-0003"|false|3|"OtherAsset"|true|"1-0090"|"51b733b197c017bd196575e62abc134957500826"|"d4a6403e3193b59c40b7974e0a344131f7085593"|"/Source_Systems/Finance/MYOB/accounts"|"accounts"|"D:\BI_and_Data_Analytics\Workflows"|"MYOB"|"2018-08-02 16:21:38.0"
"ATSS Programme Advances"|"Asset"|"Derived from QuickBooks account ATSS Programme Advances (Programme Funds Advanced), of type Bank, with cash flow classification NotApplicable"|"1-0090"|false|4|"Bank"|false|"1-0095"|"f5ff35dfbd680c2a97ff95f00dafd2d5bcfaad73"|"51b733b197c017bd196575e62abc134957500826"|"/Source_Systems/Finance/MYOB/accounts"|"accounts"|"D:\BI_and_Data_Analytics\Workflows"|"MYOB"|"2018-08-02 16:21:38.0"
"Diamond Creek PA"|"Asset"|"Derived from QuickBooks account Diamond Creek , of type Bank, with cash flow classification NotApplicable"|"1-0090"|false|4|"Bank"|false|"1-0100"|"e8e8ace66bd094e22aa3850b5a27dd508e0e858e"|"51b733b197c017bd196575e62abc134957500826"|"/Source_Systems/Finance/MYOB/accounts"|"accounts"|"D:\BI_and_Data_Analytics\Workflows"|"MYOB"|"2018-08-02 16:21:38.0"
"Hurstbridge PA"|"Asset"|"Derived from QuickBooks account Hurstbridge , of type Bank, with cash flow classification NotApplicable"|"1-0090"|false|4|"Bank"|false|"1-0105"|"6fc8916272d2465d6c78638ac3c79edc00929357"|"51b733b197c017bd196575e62abc134957500826"|"/Source_Systems/Finance/MYOB/accounts"|"accounts"|"D:\BI_and_Data_Analytics\Workflows"|"MYOB"|"2018-08-02 16:21:38.0"
"Lower Plenty Site PA"|"Asset"|"Derived from QuickBooks account Lower Plenty Site , of type Bank, with cash flow classification NotApplicable"|"1-0090"|false|4|"Bank"|false|"1-0110"|"be35557006d4755be728868c5489bb4c66428874"|"51b733b197c017bd196575e62abc134957500826"|"/Source_Systems/Finance/MYOB/accounts"|"accounts"|"D:\BI_and_Data_Analytics\Workflows"|"MYOB"|"2018-08-02 16:21:38.0"
"Primed PA"|"Asset"|"Derived from QuickBooks account Primed , of type Bank, with cash flow classification NotApplicable"|"1-0090"|false|4|"Bank"|false|"1-0115"|"fe95c09b478e769cfa95befc78f2655c34297215"|"51b733b197c017bd196575e62abc134957500826"|"/Source_Systems/Finance/MYOB/accounts"|"accounts"|"D:\BI_and_Data_Analytics\Workflows"|"MYOB"|"2018-08-02 16:21:38.0"
"Rosanna Site PA"|"Asset"|"Derived from QuickBooks account Rosanna Site , of type Bank, with cash flow classification NotApplicable"|"1-0090"|false|4|"Bank"|false|"1-0120"|"76837cd47d1764c3ab5111c600eec9077bf6b503"|"51b733b197c017bd196575e62abc134957500826"|"/Source_Systems/Finance/MYOB/accounts"|"accounts"|"D:\BI_and_Data_Analytics\Workflows"|"MYOB"|"2018-08-02 16:21:38.0"
"Petty Cash"|"Asset"|"Derived from QuickBooks account Petty Cash , of type Bank, with cash flow classification NotApplicable"|"1-0003"|false|3|"OtherAsset"|true|"1-0125"|"6f924e8463659ca470351892bf434da19b538b88"|"d4a6403e3193b59c40b7974e0a344131f7085593"|"/Source_Systems/Finance/MYOB/accounts"|"accounts"|"D:\BI_and_Data_Analytics\Workflows"|"MYOB"|"2018-08-02 16:21:38.0"
"Administration PC"|"Asset"|"Derived from QuickBooks account Administration , of type Bank, with cash flow classification NotApplicable"|"1-0125"|false|4|"Bank"|false|"1-0145"|"6351eac43ba6306b214af1178443a06ec51a97ae"|"6f924e8463659ca470351892bf434da19b538b88"|"/Source_Systems/Finance/MYOB/accounts"|"accounts"|"D:\BI_and_Data_Analytics\Workflows"|"MYOB"|"2018-08-02 16:21:38.0"
"Chancez-Epping PC"|"Asset"|"Derived from QuickBooks account Chancez-Epping , of type Bank, with cash flow classification NotApplicable"|"1-0125"|false|4|"Bank"|false|"1-0150"|"09459856ca7ab4660477c02f19b4eba75a700235"|"6f924e8463659ca470351892bf434da19b538b88"|"/Source_Systems/Finance/MYOB/accounts"|"accounts"|"D:\BI_and_Data_Analytics\Workflows"|"MYOB"|"2018-08-02 16:21:38.0"
"Diamond Creek PC"|"Asset"|"Derived from QuickBooks account Diamond Creek , of type Bank, with cash flow classification NotApplicable"|"1-0125"|false|4|"Bank"|false|"1-0155"|"1d48e3f439d4a89541daa9b33db61d4623468041"|"6f924e8463659ca470351892bf434da19b538b88"|"/Source_Systems/Finance/MYOB/accounts"|"accounts"|"D:\BI_and_Data_Analytics\Workflows"|"MYOB"|"2018-08-02 16:21:38.0"
"Lwr Plenty PC"|"Asset"|"Derived from QuickBooks account Lwr Plenty , of type Bank, with cash flow classification NotApplicable"|"1-0125"|false|4|"Bank"|false|"1-0160"|"9ebbea6094abef113ee38ec14cd79c08dd8a430e"|"6f924e8463659ca470351892bf434da19b538b88"|"/Source_Systems/Finance/MYOB/accounts"|"accounts"|"D:\BI_and_Data_Analytics\Workflows"|"MYOB"|"2018-08-02 16:21:38.0"
"Primed PC"|"Asset"|"Derived from QuickBooks account Primed , of type Bank, with cash flow classification NotApplicable"|"1-0125"|false|4|"Bank"|false|"1-0170"|"0c8c070c7b07cda97b0ee16f823df90073fc2681"|"6f924e8463659ca470351892bf434da19b538b88"|"/Source_Systems/Finance/MYOB/accounts"|"accounts"|"D:\BI_and_Data_Analytics\Workflows"|"MYOB"|"2018-08-02 16:21:38.0"
"Rosanna PC"|"Asset"|"Derived from QuickBooks account Rosanna , of type Bank, with cash flow classification NotApplicable"|"1-0125"|false|4|"Bank"|false|"1-0175"|"997e19c9a8b00abcb76f771755cff23a4071c936"|"6f924e8463659ca470351892bf434da19b538b88"|"/Source_Systems/Finance/MYOB/accounts"|"accounts"|"D:\BI_and_Data_Analytics\Workflows"|"MYOB"|"2018-08-02 16:21:38.0"
"Investments"|"Asset"|"Derived from QuickBooks account Investments , of type Bank, with cash flow classification NotApplicable"|"1-0003"|false|3|"OtherAsset"|true|"1-0180"|"8f0fd7659cf32eff48735c0949286e6b67d5d13b"|"d4a6403e3193b59c40b7974e0a344131f7085593"|"/Source_Systems/Finance/MYOB/accounts"|"accounts"|"D:\BI_and_Data_Analytics\Workflows"|"MYOB"|"2018-08-02 16:21:38.0"
"Investments"|"Asset"|"Derived from QuickBooks account Investments , of type Bank, with cash flow classification NotApplicable"|"1-0180"|false|4|"Bank"|false|"1-0185"|"826eee48a2b986f1f4040d00f6b794618554f5fc"|"8f0fd7659cf32eff48735c0949286e6b67d5d13b"|"/Source_Systems/Finance/MYOB/accounts"|"accounts"|"D:\BI_and_Data_Analytics\Workflows"|"MYOB"|"2018-08-02 16:21:38.0"
"C B A Term Deposit"|"Asset"|"Derived from QuickBooks account C B A Term Deposit (Attd. to Cash Deposit Account), of type Bank, with cash flow classification NotApplicable"|"1-0180"|true|4|"Bank"|false|"1-0195"|"5fbdd0d8137cb1f6cbb7f9ba534c6825e5d02776"|"8f0fd7659cf32eff48735c0949286e6b67d5d13b"|"/Source_Systems/Finance/MYOB/accounts"|"accounts"|"D:\BI_and_Data_Analytics\Workflows"|"MYOB"|"2018-08-02 16:21:38.0"
"Term Deposit - Bendigo"|"Asset"|"Derived from QuickBooks account Term Deposit - Bendigo (Treasury Deposit - NCD), of type Bank, with cash flow classification NotApplicable"|"1-0180"|false|4|"Bank"|false|"1-0200"|"c722e44ef0eac85784ccdbd81981a91ee79614b4"|"8f0fd7659cf32eff48735c0949286e6b67d5d13b"|"/Source_Systems/Finance/MYOB/accounts"|"accounts"|"D:\BI_and_Data_Analytics\Workflows"|"MYOB"|"2018-08-02 16:21:38.0"
"Accounts Receivable"|"Asset"|"Derived from QuickBooks account 1200 Accounts Receivable , of type AccountsReceivable, with cash flow classification Operating"|"1-0003"|false|3|"OtherAsset"|true|"1-0205"|"2f461272a9eafc7039a1ba5eaf9f6544ba59cfb2"|"d4a6403e3193b59c40b7974e0a344131f7085593"|"/Source_Systems/Finance/MYOB/accounts"|"accounts"|"D:\BI_and_Data_Analytics\Workflows"|"MYOB"|"2018-08-02 16:21:38.0"
"Accounts Receivable"|"Asset"|"Derived from QuickBooks account 1200 Accounts Receivable , of type AccountsReceivable, with cash flow classification Operating"|"1-0205"|false|4|"AccountReceivable"|false|"1-0210"|"029d0b8eed7736367c46d01b4bb021028be6e76d"|"2f461272a9eafc7039a1ba5eaf9f6544ba59cfb2"|"/Source_Systems/Finance/MYOB/accounts"|"accounts"|"D:\BI_and_Data_Analytics\Workflows"|"MYOB"|"2018-08-02 16:21:38.0"
"Accounts Receivable-Other"|"Asset"|"Derived from QuickBooks account Other , of type AccountsReceivable, with cash flow classification Operating"|"1-0205"|false|4|"AccountReceivable"|false|"1-0215"|"878caf7c6b25b4367830752022816d6dbdf25b8d"|"2f461272a9eafc7039a1ba5eaf9f6544ba59cfb2"|"/Source_Systems/Finance/MYOB/accounts"|"accounts"|"D:\BI_and_Data_Analytics\Workflows"|"MYOB"|"2018-08-02 16:21:38.0"
"Prepaid Fees"|"Asset"|"Derived from QuickBooks account Prepaid Fees (Prepaid client fees & expenses), of type AccountsReceivable, with cash flow classification Operating"|"1-0205"|false|4|"AccountReceivable"|false|"1-0220"|"9faa7042d47be2b0c3a7f78674e2015547b58ab6"|"2f461272a9eafc7039a1ba5eaf9f6544ba59cfb2"|"/Source_Systems/Finance/MYOB/accounts"|"accounts"|"D:\BI_and_Data_Analytics\Workflows"|"MYOB"|"2018-08-02 16:21:38.0"
"Provision for Doubtful Debts"|"Asset"|"Derived from QuickBooks account Provision for Doubtful Debts , of type AccountsReceivable, with cash flow classification Operating"|"1-0205"|false|4|"AccountReceivable"|false|"1-0225"|"7d0eedbbc0f15624fe8a48e678b3c08fa632567f"|"2f461272a9eafc7039a1ba5eaf9f6544ba59cfb2"|"/Source_Systems/Finance/MYOB/accounts"|"accounts"|"D:\BI_and_Data_Analytics\Workflows"|"MYOB"|"2018-08-02 16:21:38.0"
"Total Other Current Assets"|"Asset"|""|"1-0003"|false|3|"OtherAsset"|true|"1-0228"|"0fd5ec81719e0bd969ac92d70627ac07c326e47f"|"d4a6403e3193b59c40b7974e0a344131f7085593"|"/Source_Systems/Finance/MYOB/accounts"|"accounts"|"D:\BI_and_Data_Analytics\Workflows"|"MYOB"|"2018-08-02 16:21:38.0"
"Interest Receivable"|"Asset"|"Derived from QuickBooks account Interest Receivable , of type OtherCurrentAsset, with cash flow classification Operating"|"1-0228"|false|4|"OtherCurrentAsset"|false|"1-0230"|"9f3353cedde848a6bcd95f8f85b3e3752832e7d0"|"0fd5ec81719e0bd969ac92d70627ac07c326e47f"|"/Source_Systems/Finance/MYOB/accounts"|"accounts"|"D:\BI_and_Data_Analytics\Workflows"|"MYOB"|"2018-08-02 16:21:38.0"
"Sundry"|"Asset"|"Derived from QuickBooks account Sundry , of type OtherCurrentAsset, with cash flow classification Operating"|"1-0228"|false|4|"OtherCurrentAsset"|false|"1-0245"|"869bfc9a4035ffea2f2fdcdb521cdf77d766616f"|"0fd5ec81719e0bd969ac92d70627ac07c326e47f"|"/Source_Systems/Finance/MYOB/accounts"|"accounts"|"D:\BI_and_Data_Analytics\Workflows"|"MYOB"|"2018-08-02 16:21:38.0"
"Other Debtors-Trade"|"Asset"|"Derived from QuickBooks account Trade , of type OtherCurrentAsset, with cash flow classification Operating"|"1-0228"|false|4|"OtherCurrentAsset"|false|"1-0250"|"497fdedd3e97973678ca7e8e0ee560c65d6c6f6a"|"0fd5ec81719e0bd969ac92d70627ac07c326e47f"|"/Source_Systems/Finance/MYOB/accounts"|"accounts"|"D:\BI_and_Data_Analytics\Workflows"|"MYOB"|"2018-08-02 16:21:38.0"
"Prepaid Expenses"|"Asset"|"Derived from QuickBooks account Prepaid Expenses (Expenses Paid in Advance, Insurance, etc.), of type OtherCurrentAsset, with cash flow classification Operating"|"1-0228"|false|4|"OtherCurrentAsset"|false|"1-0255"|"e1c5469f6cf6e8d66b173568e1d102d370f4b3f0"|"0fd5ec81719e0bd969ac92d70627ac07c326e47f"|"/Source_Systems/Finance/MYOB/accounts"|"accounts"|"D:\BI_and_Data_Analytics\Workflows"|"MYOB"|"2018-08-02 16:21:38.0"
"Recoverables"|"Asset"|"Derived from QuickBooks account Recoverables , of type OtherCurrentAsset, with cash flow classification Operating"|"1-0228"|false|4|"OtherCurrentAsset"|false|"1-0260"|"b986423223dcfb87d68bd5a9852333304380e8b9"|"0fd5ec81719e0bd969ac92d70627ac07c326e47f"|"/Source_Systems/Finance/MYOB/accounts"|"accounts"|"D:\BI_and_Data_Analytics\Workflows"|"MYOB"|"2018-08-02 16:21:38.0"
"Undeposited Funds"|"Asset"|"Derived from QuickBooks account 1499 Undeposited Funds , of type OtherCurrentAsset, with cash flow classification NotApplicable and QuickBooks 'special' account type UndepositedFunds"|"1-0228"|false|4|"Bank"|false|"1-0265"|"86a639ba73d952f164603c44e83881d2073ea659"|"0fd5ec81719e0bd969ac92d70627ac07c326e47f"|"/Source_Systems/Finance/MYOB/accounts"|"accounts"|"D:\BI_and_Data_Analytics\Workflows"|"MYOB"|"2018-08-02 16:21:38.0"
"Fixed Assets"|"Asset"|""|"1-0000"|false|2|"FixedAsset"|true|"1-0267"|"629dcdb5fd5a1e3748fd3d2b302dc2ffa45e2ca6"|"927f9246e7015a542e5ee7be43f877c6e7a0836b"|"/Source_Systems/Finance/MYOB/accounts"|"accounts"|"D:\BI_and_Data_Analytics\Workflows"|"MYOB"|"2018-08-02 16:21:38.0"
"Land and Buildings"|"Asset"|""|"1-0267"|false|3|"OtherAsset"|true|"1-0268"|"f2000a2044388a94cea2a76202a74d8b459be7da"|"629dcdb5fd5a1e3748fd3d2b302dc2ffa45e2ca6"|"/Source_Systems/Finance/MYOB/accounts"|"accounts"|"D:\BI_and_Data_Analytics\Workflows"|"MYOB"|"2018-08-02 16:21:38.0"
"12 Turnham Ave. Rosanna"|"Asset"|"Derived from QuickBooks account Buildings , of type FixedAsset, with cash flow classification Investing"|"1-0267"|false|3|"OtherAsset"|true|"1-0270"|"8b0d270f2e0a5c39dbd38695ce07a2a5f57f277f"|"629dcdb5fd5a1e3748fd3d2b302dc2ffa45e2ca6"|"/Source_Systems/Finance/MYOB/accounts"|"accounts"|"D:\BI_and_Data_Analytics\Workflows"|"MYOB"|"2018-08-02 16:21:38.0"
"Buildings"|"Asset"|"Derived from QuickBooks account Buildings , of type FixedAsset, with cash flow classification Investing"|"1-0270"|false|4|"FixedAsset"|false|"1-0275"|"574291b6235ba22bfd9a12255324e8297d793a42"|"8b0d270f2e0a5c39dbd38695ce07a2a5f57f277f"|"/Source_Systems/Finance/MYOB/accounts"|"accounts"|"D:\BI_and_Data_Analytics\Workflows"|"MYOB"|"2018-08-02 16:21:38.0"
"Less_ Prov Depreciation 12 T"|"Asset"|"Derived from QuickBooks account Less_ Prov Depreciation , of type FixedAsset, with cash flow classification Investing"|"1-0270"|false|4|"FixedAsset"|false|"1-0280"|"9570db4fb02e23884209f3c4079affe8ce3e03cf"|"8b0d270f2e0a5c39dbd38695ce07a2a5f57f277f"|"/Source_Systems/Finance/MYOB/accounts"|"accounts"|"D:\BI_and_Data_Analytics\Workflows"|"MYOB"|"2018-08-02 16:21:38.0"
"Improvements"|"Asset"|"Derived from QuickBooks account Improvements , of type FixedAsset, with cash flow classification Investing"|"1-0270"|false|4|"FixedAsset"|false|"1-0295"|"4c19831798d6b36b3eca619802f5260f6507ae2d"|"8b0d270f2e0a5c39dbd38695ce07a2a5f57f277f"|"/Source_Systems/Finance/MYOB/accounts"|"accounts"|"D:\BI_and_Data_Analytics\Workflows"|"MYOB"|"2018-08-02 16:21:38.0"
"Land"|"Asset"|"Derived from QuickBooks account Land , of type FixedAsset, with cash flow classification Investing"|"1-0270"|false|4|"FixedAsset"|false|"1-0300"|"07b9ba6bee638327965a3423f77fbb20ae5e6b38"|"8b0d270f2e0a5c39dbd38695ce07a2a5f57f277f"|"/Source_Systems/Finance/MYOB/accounts"|"accounts"|"D:\BI_and_Data_Analytics\Workflows"|"MYOB"|"2018-08-02 16:21:38.0"
"2 Turnham Avenue"|"Asset"|"Derived from QuickBooks account 2 Turnham Avenue , of type FixedAsset, with cash flow classification Investing"|"1-0267"|false|3|"OtherAsset"|true|"1-0310"|"1dfce39996942ac9dfb241bab7712a76337e6ea7"|"629dcdb5fd5a1e3748fd3d2b302dc2ffa45e2ca6"|"/Source_Systems/Finance/MYOB/accounts"|"accounts"|"D:\BI_and_Data_Analytics\Workflows"|"MYOB"|"2018-08-02 16:21:38.0"
"2 Turnham Ave Land"|"Asset"|"Derived from QuickBooks account 2 Turnham Ave Land , of type FixedAsset, with cash flow classification Investing"|"1-0310"|false|4|"FixedAsset"|false|"1-0320"|"0e09995ec1a1447b47a18313bedbd6f196f4c96a"|"1dfce39996942ac9dfb241bab7712a76337e6ea7"|"/Source_Systems/Finance/MYOB/accounts"|"accounts"|"D:\BI_and_Data_Analytics\Workflows"|"MYOB"|"2018-08-02 16:21:38.0"
"Improvements"|"Asset"|"Derived from QuickBooks account Improvements , of type FixedAsset, with cash flow classification Investing"|"1-0310"|false|4|"FixedAsset"|false|"1-0325"|"633f4c86e57620f8f26c63d6a1a9a5174d0dcc51"|"1dfce39996942ac9dfb241bab7712a76337e6ea7"|"/Source_Systems/Finance/MYOB/accounts"|"accounts"|"D:\BI_and_Data_Analytics\Workflows"|"MYOB"|"2018-08-02 16:21:38.0"
"Less_Provn Depreciation 2 T"|"Asset"|"Derived from QuickBooks account Less_Provn Depreciation , of type FixedAsset, with cash flow classification Investing"|"1-0310"|false|4|"FixedAsset"|false|"1-0330"|"85de77b263113e2dd287bd11e1c96db992600499"|"1dfce39996942ac9dfb241bab7712a76337e6ea7"|"/Source_Systems/Finance/MYOB/accounts"|"accounts"|"D:\BI_and_Data_Analytics\Workflows"|"MYOB"|"2018-08-02 16:21:38.0"
"Development"|"Asset"|"Derived from QuickBooks account Development , of type FixedAsset, with cash flow classification Investing"|"1-0310"|false|4|"FixedAsset"|false|"1-0340"|"73691e8aeee53f67195b2334698a7e083e913e13"|"1dfce39996942ac9dfb241bab7712a76337e6ea7"|"/Source_Systems/Finance/MYOB/accounts"|"accounts"|"D:\BI_and_Data_Analytics\Workflows"|"MYOB"|"2018-08-02 16:21:38.0"
"Less_Provn Depreciation B 2"|"Asset"|"Derived from QuickBooks account Less_Provn Depreciation , of type FixedAsset, with cash flow classification Investing"|"1-0310"|false|4|"FixedAsset"|false|"1-0345"|"3f26dec8bcbf41ad39091fc6a7ce354ca7899bc7"|"1dfce39996942ac9dfb241bab7712a76337e6ea7"|"/Source_Systems/Finance/MYOB/accounts"|"accounts"|"D:\BI_and_Data_Analytics\Workflows"|"MYOB"|"2018-08-02 16:21:38.0"
"29 Station Street, Diamond Cr"|"Asset"|"Derived from QuickBooks account Buildings , of type FixedAsset, with cash flow classification Investing"|"1-0267"|false|3|"OtherAsset"|true|"1-0350"|"ae8a22c8caeff0f9d8d98481883577ea19957552"|"629dcdb5fd5a1e3748fd3d2b302dc2ffa45e2ca6"|"/Source_Systems/Finance/MYOB/accounts"|"accounts"|"D:\BI_and_Data_Analytics\Workflows"|"MYOB"|"2018-08-02 16:21:38.0"
"Buildings"|"Asset"|"Derived from QuickBooks account Buildings , of type FixedAsset, with cash flow classification Investing"|"1-0350"|false|4|"FixedAsset"|false|"1-0355"|"8c69e9a7d4c365904d996f2bddd2296de9bf5bdd"|"ae8a22c8caeff0f9d8d98481883577ea19957552"|"/Source_Systems/Finance/MYOB/accounts"|"accounts"|"D:\BI_and_Data_Analytics\Workflows"|"MYOB"|"2018-08-02 16:21:38.0"
